provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj,local_moran_i,lisa_quadrant,gi_star_z,gi_p_value,hotspot_label
Santa Elena,La Libertad,2402,465,-2.235738467686809,-80.90477736827314,3,450,3,131,106,80,40,98,108.2,81.6,81.6,1.2881,Hotspot (HH),1.3633,0.1728,not significant
Santa Elena,Salinas,2403,245,-2.2434620548095814,-80.59544029617,3,232,3,56,36,49,32,70,51.4,70.0,91.4,1.2264,Hotspot (HH),1.5834,0.1133,not significant
Santa Elena,Santa Elena,2401,321,-2.162519351916436,-80.76855348318699,8,309,0,66,47,99,39,150,31.3,66.0,52.0,1.253,Hotspot (HH),1.6867,0.0917,hotspot (90%)
Sto Dgo De Los Tsáchilas,La Concordia,2302,140,-0.0103330664947938,-75.44851680247267,1,112,1,42,13,16,17,51,25.5,31.4,66.7,0.2359,High outlier (HL),0.5989,0.5492,not significant
Sto Dgo De Los Tsáchilas,Santo Domingo,2301,807,-0.2621238896886034,-75.28218852259297,27,647,6,118,53,145,20,400,13.2,36.2,10.0,0.2467,Hotspot (HH),0.6476,0.5172,not significant
Sucumbíos,Cascales,2106,21,0.0710974348700207,-73.49555554312049,3,13,0,8,0,1,0,50,0.0,2.0,0.0,-0.0136,Low outlier (LH),0.0425,0.9661,not significant
Sucumbíos,Cuyabeno,2107,14,-0.1454818706833211,-76.34287533985328,2,11,0,1,2,2,0,50,4.0,4.0,0.0,-0.4439,Low outlier (LH),1.9259,0.0541,hotspot (90%)
Sucumbíos,Gonzalo Pizarro,2102,11,-0.0188771559674735,-77.38045633508578,2,6,0,1,3,1,2,50,6.0,2.0,8.0,0.0654,Coldspot (LL),-0.1957,0.8449,not significant
Sucumbíos,Lago Agrio,2101,497,0.0986722896817757,-74.70150757821258,10,449,2,70,85,48,53,110,77.3,43.6,96.4,0.2767,Hotspot (HH),0.641,0.5215,not significant
Sucumbíos,Putumayo,2103,35,0.1305254368737552,-73.8303440844548,3,28,0,0,0,1,0,50,0.0,2.0,0.0,0.252,Low outlier (LH),-0.4666,0.6408,not significant
